No,URL,Delay,LossRate,Bandwidth
1,example.com,0,0,1
2,example.com,0,0,5
3,example.com,0,0,10
4,example.com,0,0,15
5,example.com,0,0,20
6,example.com,0,0,25
7,example.com,15,0,1
8,example.com,15,0,5
9,example.com,15,0,10
10,example.com,15,0,15
11,example.com,15,0,20
12,example.com,15,0,25
13,example.com,30,0,1
14,example.com,30,0,5
15,example.com,30,0,10
16,example.com,30,0,15
17,example.com,30,0,20
18,example.com,30,0,25
19,example.com,45,0,1
20,example.com,45,0,5
21,example.com,45,0,10
22,example.com,45,0,15
23,example.com,45,0,20
24,example.com,45,0,25
25,example.com,60,0,1
26,example.com,60,0,5
27,example.com,60,0,10
28,example.com,60,0,15
29,example.com,60,0,20
30,example.com,60,0,25
31,example.com,75,0,1
32,example.com,75,0,5
33,example.com,75,0,10
34,example.com,75,0,15
35,example.com,75,0,20
36,example.com,75,0,25
37,example.com,90,0,1
38,example.com,90,0,5
39,example.com,90,0,10
40,example.com,90,0,15
41,example.com,90,0,20
42,example.com,90,0,25
43,example.com,105,0,1
44,example.com,105,0,5
45,example.com,105,0,10
46,example.com,105,0,15
47,example.com,105,0,20
48,example.com,105,0,25
49,example.com,120,0,1
50,example.com,120,0,5
51,example.com,120,0,10
52,example.com,120,0,15
53,example.com,120,0,20
54,example.com,120,0,25
55,example.com,135,0,1
56,example.com,135,0,5
57,example.com,135,0,10
58,example.com,135,0,15
59,example.com,135,0,20
60,example.com,135,0,25
61,example.com,150,0,1
62,example.com,150,0,5
63,example.com,150,0,10
64,example.com,150,0,15
65,example.com,150,0,20
66,example.com,150,0,25
67,example.com,0,0.02,1
68,example.com,0,0.02,5
69,example.com,0,0.02,10
70,example.com,0,0.02,15
71,example.com,0,0.02,20
72,example.com,0,0.02,25
73,example.com,15,0.02,1
74,example.com,15,0.02,5
75,example.com,15,0.02,10
76,example.com,15,0.02,15
77,example.com,15,0.02,20
78,example.com,15,0.02,25
79,example.com,30,0.02,1
80,example.com,30,0.02,5
81,example.com,30,0.02,10
82,example.com,30,0.02,15
83,example.com,30,0.02,20
84,example.com,30,0.02,25
85,example.com,45,0.02,1
86,example.com,45,0.02,5
87,example.com,45,0.02,10
88,example.com,45,0.02,15
89,example.com,45,0.02,20
90,example.com,45,0.02,25
91,example.com,60,0.02,1
92,example.com,60,0.02,5
93,example.com,60,0.02,10
94,example.com,60,0.02,15
95,example.com,60,0.02,20
96,example.com,60,0.02,25
97,example.com,75,0.02,1
98,example.com,75,0.02,5
99,example.com,75,0.02,10
100,example.com,75,0.02,15
101,example.com,75,0.02,20
102,example.com,75,0.02,25
103,example.com,90,0.02,1
104,example.com,90,0.02,5
105,example.com,90,0.02,10
106,example.com,90,0.02,15
107,example.com,90,0.02,20
108,example.com,90,0.02,25
109,example.com,105,0.02,1
110,example.com,105,0.02,5
111,example.com,105,0.02,10
112,example.com,105,0.02,15
113,example.com,105,0.02,20
114,example.com,105,0.02,25
115,example.com,120,0.02,1
116,example.com,120,0.02,5
117,example.com,120,0.02,10
118,example.com,120,0.02,15
119,example.com,120,0.02,20
120,example.com,120,0.02,25
121,example.com,135,0.02,1
122,example.com,135,0.02,5
123,example.com,135,0.02,10
